Date,Category,Description,Amount
2025-04-25,Transport,Cab to Station,250
2025-04-28,Food,Birthday Celebration,1500
2025-04-30,Medical,Pharmacy,280
2025-05-01,Food,Domino's Pizza,350
2025-05-01,Transport,Uber Ride,120
2025-05-02,Shopping,Big Bazaar Groceries,890
2025-05-03,Food,Cafe Coffee Day,200
2025-05-05,Shopping,Zara T-Shirt,999
2025-05-06,Transport,Flight Bangalore to Ranchi,5200
2025-05-06,Transport,Airport Pickup,400
2025-05-08,Education,Lab Fee Payment,3500
2025-05-10,Food,Mess Bill,11500
2025-05-12,Shopping,Zudio Monsoon Prep,1750
2025-05-15,Food,Friends Treat,680
2025-05-18,Medical,Fever Treatment,450
2025-05-20,Transport,Local Travel,150
2025-05-22,Food,Special Dinner,580
2025-05-25,Entertainment,Movie Night,400
2025-01-07,Shopping,Nike Shoes,4500
2025-01-14,Food,Subway,380
2025-01-21,Transport,Train Local,45
2025-01-26,Medical,First Aid Kit,320
2025-02-04,Food,Breakfast Joint,220
2025-02-11,Shopping,Phone Cover,450
2025-02-17,Transport,Rickshaw,60
2025-02-24,Food,Ice Cream Parlor,180
2025-03-03,Shopping,Bag Lifestyle,1200
2025-03-09,Food,Lunch Box,150
2025-03-16,Transport,Bus Fare,35
2025-03-23,Medical,Vitamins,380
2025-03-29,Food,Evening Tea,80
2025-04-04,Shopping,Books Amazon,850
2025-04-11,Food,Canteen,120
2025-04-17,Transport,Share Auto,25
2025-04-24,Medical,Cough Syrup,180
2025-05-04,Food,Morning Coffee,60
2025-05-09,Shopping,Earphones,1200
2025-05-14,Transport,College Bus,300
2025-05-19,Food,Hostel Canteen,180
2025-05-23,Medical,Band-Aid,50
2025-01-09,Entertainment,Netflix Subscription,199
2025-01-16,Food,Maggi Late Night,80
2025-01-23,Shopping,Deodorant,280
2025-01-29,Transport,Taxi Share,120
2025-02-06,Food,Samosa Chat,100
2025-02-13,Medical,Paracetamol,45
2025-02-19,Shopping,Socks Underwear,650
2025-02-26,Food,Juice Corner,150
2025-03-04,Transport,Auto Stand,70
2025-03-11,Food,Noodles,180
2025-03-17,Shopping,Shampoo Conditioner,420
2025-03-24,Medical,Antiseptic,120
2025-03-31,Food,Pani Puri,80
2025-04-06,Transport,Uber Pool,90
2025-04-13,Food,Dosa,120
2025-04-19,Shopping,Laptop Accessories,1800
2025-04-26,Medical,Throat Lozenges,80
2025-05-07,Food,Dinner Outside,450
2025-05-11,Transport,Metro,42
2025-05-16,Shopping,Face Wash,180
2025-05-21,Food,Breakfast,200
2025-01-11,Education,Project Materials,650
2025-01-17,Food,Late Night Delivery,280
2025-01-24,Shopping,Winter Accessories,890
2025-01-31,Transport,Long Distance Bus,850
2025-02-07,Food,Breakfast Meeting,320
2025-02-14,Medical,Valentine Headache,120
2025-02-21,Shopping,Gift for Friend,1200
2025-02-27,Food,Celebration Meal,780
2025-03-06,Transport,Intercity Travel,450
2025-03-13,Food,Quick Bite,180
2025-03-19,Shopping,Spring Collection,1650
2025-03-26,Medical,Allergy Medicine,280
2025-04-02,Food,Hostel Party,650
2025-04-09,Transport,Weekend Trip,1200
2025-04-16,Shopping,Summer Essentials,980
2025-04-23,Medical,Sunscreen,350
2025-04-29,Food,Month End Treat,420
2025-05-13,Transport,City Tour,300
2025-05-17,Shopping,Monsoon Gear,1450
2025-05-24,Food,Weekend Special,380
2025-01-13,Entertainment,Gaming,400
2025-01-19,Food,Hostel Kitchen,150
2025-01-27,Shopping,Toiletries,520
2025-02-02,Transport,Friend's Place,180
2025-02-09,Food,Canteen Lunch,95
2025-02-16,Medical,Health Insurance,2500
2025-02-23,Shopping,Formal Shirts,2200
2025-03-01,Food,Welcome Back,550
2025-03-07,Transport,College Trip,800
2025-03-14,Shopping,Sportswear,1800
2025-03-21,Medical,Regular Checkup,900
2025-03-27,Food,Farewell Dinner,1200
2025-04-07,Transport,Summer Break,2800
2025-04-14,Shopping,Home Needs,650
2025-04-21,Food,Family Time,480
2025-04-27,Medical,Routine Care,320
2025-05-12,Transport,Back to College,3200
2025-05-18,Shopping,New Semester,1100
2025-01-04,Food,New Year Treat,850
2025-01-12,Shopping,Study Lamp,680
2025-01-18,Transport,Weekend Out,220
2025-01-25,Medical,Flu Medicine,180
2025-02-01,Food,Monthly Celebration,420
2025-02-08,Shopping,Valentine Shopping,1500
2025-02-14,Food,Valentine Dinner,980
2025-02-20,Transport,Date Night,350
2025-02-28,Medical,Monthly Checkup,650
2025-03-05,Food,Holi Celebration,750
2025-03-12,Shopping,Festival Clothes,2400
2025-03-18,Transport,Festival Travel,1100
2025-03-25,Food,Spring Break,680
2025-04-01,Medical,April Health,420
2025-04-08,Shopping,Summer Prep,1350
2025-04-15,Food,Mid Month,520
2025-04-22,Transport,Week Travel,380
2025-04-30,Medical,Month End,220
2025-05-08,Food,May Beginning,450
2025-05-15,Shopping,Mid May,890
2025-05-22,Transport,End Month,280
